Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,10,26.650000000000002,27.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,10,26.85,153.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,10,26.0,121.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,10,25.1,102.0
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,10,27.750000000000004,51.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,10,27.15,136.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,10,27.450000000000003,123.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,10,29.5,66.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,10,26.25,11.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,10,23.35,27.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,10,19.55,163.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,10,20.7,197.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,10,19.0,176.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,10,15.55,152.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,10,22.55,99.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,10,26.900000000000002,249.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,10,18.7,63.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,10,19.0,43.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,10,15.900000000000002,148.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,10,12.95,116.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,10,17.900000000000002,82.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,10,27.200000000000003,94.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,11,25.1,158.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,11,25.05,18.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,11,28.650000000000002,2.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,11,27.7,6.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,11,23.65,207.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,11,24.3,292.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,11,23.1,319.0
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,11,27.4,72.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,11,26.25,135.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,11,27.3,107.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,11,28.6,217.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,11,28.15,1.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,11,23.700000000000003,20.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,11,22.0,123.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,11,22.15,69.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,11,21.0,64.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,11,16.6,260.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,11,23.900000000000002,160.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,11,26.35,261.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,11,23.05,54.0
