classe,n_classe,n_total,r_pb,p,p_holm,variavel_pt,nivel
HLZ_L2_Tropical_Desert_bush,47,12049,-0.0044460500327437,0.6255600981897291,1.0,silte,HLZ_L2
HLZ_L2_Tropical_Thorn_steppe,502,12049,-0.0008303603704915,0.9273833325428232,1.0,silte,HLZ_L2
HLZ_L2_Tropical_Thorn_steppe,502,12049,-0.1238359522044275,2.1814028491661898e-42,1.7451222793329519e-41,argila,HLZ_L2
HLZ_L2_Subtropical_Moist_forest,3333,12049,0.0967220365961612,1.924035362911093e-26,1.346824754037765e-25,argila,HLZ_L2
HLZ_L2_Subtropical_Wet_forest,99,12049,0.090050045279425,4.0112356679089553e-23,2.406741400745373e-22,argila,HLZ_L2
HLZ_L2_Subtropical_Dry_forest,233,12049,0.0787696270673374,4.761783404801665e-18,2.3808917024008324e-17,argila,HLZ_L2
HLZ_L2_Tropical_Very_dry_forest,2525,12049,-0.0760649446682548,6.232611003336262e-17,2.4930444013345053e-16,argila,HLZ_L2
HLZ_L2_Tropical_Desert_bush,47,12049,-0.0433793510096849,1.903485178933308e-06,5.710455536799924e-06,argila,HLZ_L2
HLZ_L2_Tropical_Moist_forest,145,12049,-0.0306864850281562,0.0007548633157062,0.0015097266314125,argila,HLZ_L2
HLZ_L2_Tropical_Dry_forest,5165,12049,-0.0009898089266151,0.913489589019677,0.913489589019677,argila,HLZ_L2
koppen_l1_C,4534,12286,0.0988540142527477,4.613775584872572e-28,1.3841326754617716e-27,SOC,koppen_l1
koppen_l1_A,7285,12286,-0.0705727924904056,4.8240866687911516e-15,9.648173337582303e-15,SOC,koppen_l1
koppen_l1_B,467,12286,-0.0681413829736764,4.000954211187632e-14,4.000954211187632e-14,SOC,koppen_l1
koppen_l2_Am,4192,12285,-0.0778924131533215,5.348763029939667e-18,3.7441341209577673e-17,SOC,koppen_l2
koppen_l2_Bs,467,12285,-0.0681393930340664,4.0172631171594634e-14,2.4103578702956783e-13,SOC,koppen_l2
koppen_l2_Cf,3567,12285,0.066318894512244,1.8670286484699906e-13,9.335143242349953e-13,SOC,koppen_l2
