rep,camada,cenario,fracao,n,r2,rmse
2,000_010cm,holdridge_etpm,argila,11581,0.7946229972852391,9.144544605984166
2,000_010cm,holdridge_eth,areia,11581,0.8135852902757382,11.671637569729606
2,000_010cm,holdridge_eth,silte,11581,0.8048756996008168,6.593650206853361
2,000_010cm,holdridge_eth,argila,11581,0.7941000454148629,9.156179590203573
2,000_010cm,th_cad100,areia,11581,0.8148157176776742,11.633054566265775
2,000_010cm,th_cad100,silte,11581,0.8102748613510433,6.50178589590537
2,000_010cm,th_cad100,argila,11581,0.7941797925028977,9.154406279042911
2,000_010cm,th_cadsolo,areia,11581,0.8142097124466168,11.652073280539675
2,000_010cm,th_cadsolo,silte,11581,0.8100580567325697,6.505499728314536
2,000_010cm,th_cadsolo,argila,11581,0.7944787342266714,9.14775574543234
2,000_010cm,clima_continuo,areia,11581,0.8154818442680305,11.612113080302931
2,000_010cm,clima_continuo,silte,11581,0.8113149504989946,6.483939735522399
